report_time_simple,report_time,지점,주소,사고원인,lon,lat,기온(°C),기온 QC플래그,강수량(mm),강수량 QC플래그,풍속(m/s),풍속 QC플래그,풍향(16방위),풍향 QC플래그,습도(%),습도 QC플래그,증기압(hPa),이슬점온도(°C),현지기압(hPa),현지기압 QC플래그,해면기압(hPa),해면기압 QC플래그,일조(hr),일조 QC플래그,일사(MJ/m2),일사 QC플래그,적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),지면온도 QC플래그,5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
2020-02-03 19:00:00,2020-02-03 19:38:00,원주,강원도 원주시 흥업면 대안리 2058,일반조난,127.8881136,37.2662912,1.2,,,9,1.7,,230,,35,,2.3,-12.6,1008.2,,1027.1,,,9,,9,,,0,0,,,2000,,,0,,,,,
2020-03-07 16:00:00,2020-03-07 16:17:00,속초,강원도 속초시 설악동 설악동 138-1,실족추락,128.4849533,38.1626862,9.1,,,,2.1,,20,,69,,8,3.7,1014.7,,1016.8,,0.9,,,9,,,7,7,,37,927,,,13.5,,,,,
2020-03-07 16:00:00,2020-03-07 16:17:00,속초,강원도 속초시 설악동 설악동 138-1,실족추락,128.4849533,38.1626862,9.1,,,,2.1,,20,,69,,8,3.7,1014.7,,1016.8,,0.9,,,9,,,7,7,,37,927,,,13.5,,,,,
2020-10-15 16:00:00,2020-10-15 16:09:00,인제,강원도 인제군 북면 용대리 산79,일반조난,128.3651816,38.1886627,16.3,,,,1.6,,230,,34,,6.2,0.3,999.9,,1023.7,,1,,,9,,,4,0,,,5009,,,23.1,,,,,
2020-10-24 11:00:00,2020-10-24 11:20:00,속초,강원도 속초시 설악동 설악동 산41,실족추락,128.4849533,38.1626862,13.2,,,,3.2,,290,,18,,2.7,-10.6,1012,,1014.1,,1,,,9,,,0,0,,,2000,,,26.3,,,,,
2020-10-24 11:00:00,2020-10-24 11:20:00,속초,강원도 속초시 설악동 설악동 산41,실족추락,128.4849533,38.1626862,13.2,,,,3.2,,290,,18,,2.7,-10.6,1012,,1014.1,,1,,,9,,,0,0,,,2000,,,26.3,,,,,
2020-10-10 08:00:00,2020-10-10 08:39:00,춘천,강원도 춘천시 서면 오월리 97-26,기타산악,127.6577378,37.9578834,10.4,,,,2.6,,340,,85,,10.6,7.9,1014.2,,1023.5,,0.8,,0.43,,,,,,,,1995,,,10.9,,14.2,14.5,16.8,18
2020-10-10 08:00:00,2020-10-10 08:39:00,춘천,강원도 춘천시 서면 오월리 97-26,일반조난,127.6577378,37.9578834,10.4,,,,2.6,,340,,85,,10.6,7.9,1014.2,,1023.5,,0.8,,0.43,,,,,,,,1995,,,10.9,,14.2,14.5,16.8,18
2020-11-04 10:00:00,2020-11-04 10:24:00,인제,강원도 인제군 북면 용대리 산77,일반조난,128.3651816,38.1886627,2.8,,,,3.2,,180,,34,,2.5,-11.5,1002,,1027.2,,1,,,9,,,0,0,,,5009,,,9.3,,,,,
2020-11-04 10:00:00,2020-11-04 10:24:00,인제,강원도 인제군 북면 용대리 산77,실족추락,128.3651816,38.1886627,2.8,,,,3.2,,180,,34,,2.5,-11.5,1002,,1027.2,,1,,,9,,,0,0,,,5009,,,9.3,,,,,
